customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes
3048-VVWGK,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,114.7,3555.7,No
6214-JEBIP,Male,1,No,No,19,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,107.46,2041.74,No
0455-FWLDM,Male,1,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.77,1314.27,Yes
9167-THOYO,Male,1,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,85.87,3778.28,Yes
6957-UHIOK,Male,1,No,Yes,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.28,667.76,Yes
0775-FTQFH,Female,0,Yes,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,60.02,360.12,Yes
3566-NWMVB,Male,0,No,Yes,29,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,46.61,1351.69,No
5174-TRRSC,Male,0,No,No,42,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),100.62,4226.04,Yes
3244-CWJUZ,Male,1,Yes,Yes,70,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),79.11,5537.7,Yes
9686-EJXGQ,Female,0,Yes,No,26,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,105.53,2743.78,Yes
5134-DDSEW,Female,0,No,No,16,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,72.78,1164.48,Yes
5882-VAQCI,Male,0,No,Yes,17,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,90.43,1537.31,No
9149-IXLKN,Male,0,No,No,35,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,58.16,2035.6,Yes
0544-RKHKV,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),67.39,2156.48,Yes
3045-LCNEW,Male,0,No,No,3,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),86.65,259.95,No
6336-BFQKI,Female,0,Yes,Yes,29,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,27.82,806.78,No
8589-EJKNV,Female,0,Yes,Yes,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,93.84,3847.44,Yes
2593-OEFSC,Female,1,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,70.05,280.2,No
1906-GDXKC,Male,0,Yes,No,64,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,34.35,2198.4,No
7604-LLSOE,Female,1,No,No,66,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),26.27,1733.82,Yes
4681-NHFXR,Male,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,89.06,3829.58,No
1963-GIZRW,Female,1,Yes,Yes,58,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.25,4596.5,Yes
4107-UPFSO,Female,0,No,No,64,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),102.78,6577.92,No
8205-KBAPC,Male,1,No,No,65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),25.8,1677.0,No
3771-PWVVX,Female,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,95.84,5462.88,No
4887-ONNYC,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,102.71,6059.89,Yes
3102-IJJQL,Female,0,Yes,Yes,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),106.5,3088.5,No
0194-HDBOR,Male,1,No,Yes,12,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,99.72,1196.64,No
6071-WIYHV,Male,1,No,Yes,57,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),86.05,4904.85,No
4937-MBCDL,Male,0,Yes,Yes,39,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),43.47,1695.33,No
7824-PGTDA,Male,0,No,Yes,32,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,95.15,3044.8,Yes
9594-EFURI,Female,1,No,Yes,62,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),41.75,2588.5,Yes
4799-SJDRZ,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,69.27,1246.86,Yes
3894-YKKAF,Male,0,No,Yes,21,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,74.55,1565.55,Yes
0792-JGQGX,Male,1,Yes,No,61,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),98.1,5984.1,No
2468-XKSPQ,Female,1,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),73.44,73.44,No
9067-LIZQY,Female,1,Yes,No,61,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),98.8,6026.8,No
6333-MZUAZ,Female,0,No,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,56.05,1961.75,No
6906-WANJY,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,54.23,1464.21,No
2530-EOLGV,Female,1,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,25.9,1243.2,No
7648-GICGL,Female,1,No,No,48,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),54.46,2614.08,No
8257-CWIPC,Male,1,Yes,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),64.28,1864.12,No
7124-YUCEN,Female,1,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,38.38,2648.22,No
7788-NTQUF,Male,1,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.98,3119.4,Yes
0844-BMOAS,Male,1,Yes,No,15,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),32.49,487.35,No
4939-EOYRS,Male,0,No,Yes,10,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,78.05,780.5,No
6488-KBUYP,Female,1,No,Yes,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),46.5,2557.5,Yes
9031-ATGHT,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),80.14,4487.84,No
0748-ZMNBD,Female,1,No,No,72,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),59.95,4316.4,Yes
4002-BQGJT,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,102.41,2355.43,Yes
6887-ZNEXC,Female,0,Yes,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),75.72,454.32,No
7742-ZCNOB,Male,0,Yes,No,58,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,78.44,4549.52,Yes
7024-PFBRD,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),71.03,2343.99,No
7627-EXKCB,Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,89.11,6059.48,Yes
6752-AYHBI,Female,0,Yes,Yes,46,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,45.92,2112.32,Yes
6187-BSORO,Male,0,No,Yes,49,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,58.02,2842.98,Yes
9051-IYDJF,Female,0,No,Yes,69,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),29.72,2050.68,Yes
2360-XWKXO,Female,1,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),108.37,7802.64,Yes
0304-CNMTD,Female,1,No,Yes,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),55.56,2666.88,Yes
7624-SHOOH,Female,1,No,No,70,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),91.76,6423.2,No
9794-TEJAT,Female,1,No,Yes,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,103.97,4262.77,Yes
7017-OFIXD,Female,1,No,Yes,10,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),90.81,908.1,Yes
3235-SBNMV,Male,1,Yes,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,109.57,4821.08,Yes
9771-DIYVL,Male,1,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.4,313.6,Yes
3934-RIFBZ,Male,1,No,No,23,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,111.4,2562.2,Yes
2462-RSIRL,Male,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,87.76,3071.6,Yes
9351-HSOAD,Female,0,No,Yes,30,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),40.5,1215.0,No
0006-MWYTT,Female,1,Yes,Yes,43,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.39,2682.77,Yes
2055-CBTCF,Male,1,No,No,64,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),91.18,5835.52,Yes
1429-QZVPJ,Female,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,104.31,2503.44,Yes
5648-EOWGH,Male,0,No,No,57,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,53.47,3047.79,No
3119-JXAVI,Female,0,Yes,Yes,15,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,22.89,343.35,No
2709-HDTJV,Female,1,Yes,Yes,51,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),72.15,3679.65,Yes
0405-HCBNX,Female,1,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),52.52,1628.12,No
6310-LNYZJ,Female,1,No,No,64,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),35.01,2240.64,No
3217-FAGDM,Male,1,No,Yes,70,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,37.0,2590.0,Yes
7992-BFXAK,Male,0,No,Yes,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),81.98,655.84,Yes
5429-PZXYP,Male,0,Yes,Yes,33,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),96.19,3174.27,No
1307-YIWZW,Male,0,Yes,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,38.62,424.82,Yes
2091-LTQUS,Female,0,No,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),83.87,4193.5,No
8715-NFBJB,Female,1,Yes,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),109.48,3393.88,No
2230-KKCAP,Male,1,Yes,No,24,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),42.75,1026.0,Yes
3241-OWAAP,Female,1,Yes,Yes,33,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,89.62,2957.46,Yes
1594-MSTBE,Female,1,No,No,46,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),115.64,5319.44,Yes
1305-ZTSZJ,Female,1,No,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,55.98,1399.5,Yes
0995-KFSRD,Female,1,No,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,55.5,1054.5,No
8674-EDQTN,Male,1,No,No,10,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,37.95,379.5,No
0769-IFARD,Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),97.03,485.15,No
0476-YYSGD,Female,1,No,Yes,22,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,86.2,1896.4,No
7315-RIPII,Male,0,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),68.68,4807.6,Yes
1786-UQEQC,Male,0,Yes,No,50,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,25.75,1287.5,Yes
7701-MWMAX,Female,0,No,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.7,3777.6,Yes
6651-ZTSBD,Male,0,No,Yes,57,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,86.46,4928.22,No
3414-CXOFX,Female,1,Yes,No,44,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),44.14,1942.16,No
5347-QICCQ,Female,1,No,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.3,37.3,No
2916-TPKZL,Female,1,Yes,Yes,52,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,103.88,5401.76,Yes
1220-PGVNB,Female,1,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.1,877.8,No
1260-OTHYH,Female,0,No,No,8,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,101.47,811.76,Yes
1377-HZECY,Male,1,No,No,26,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),108.47,2820.22,Yes
7005-IDQHF,Male,0,No,No,19,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),67.0,1273.0,Yes
6045-FEVOP,Female,1,No,Yes,19,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,25.18,478.42,Yes
1483-SUHQG,Female,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,83.07,3488.94,No
2782-LGKEG,Male,0,Yes,Yes,23,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,104.49,2403.27,Yes
6696-NGLUB,Female,0,No,No,65,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,31.35,2037.75,Yes
1754-JXYDP,Male,1,No,No,22,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),44.98,989.56,Yes
3650-QIIGH,Female,0,No,No,26,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,69.81,1815.06,No
0783-INYJD,Female,0,Yes,No,2,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),48.51,97.02,Yes
0260-DITGT,Male,1,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.85,589.95,No
7616-OIAPZ,Female,0,No,Yes,7,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,23.64,165.48,Yes
9092-FHRRC,Female,0,Yes,Yes,41,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),28.98,1188.18,Yes
1558-PHCQS,Female,1,No,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),57.43,2067.48,No
8814-PTBQR,Female,1,Yes,Yes,52,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,24.06,1251.12,No
8913-TVQXI,Female,1,No,Yes,55,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),43.65,2400.75,Yes
7379-LDUQU,Male,0,No,Yes,59,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,No,Mailed check,87.72,5175.48,No
3244-OOESI,Female,0,No,Yes,32,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,102.32,3274.24,No
2392-WYFDR,Male,1,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),112.64,3041.28,No
5885-QSIMO,Male,1,Yes,Yes,10,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.07,1050.7,Yes
8498-CPFVX,Female,0,No,Yes,52,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),109.82,5710.64,Yes
5919-HRWBZ,Male,1,Yes,Yes,11,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,51.5,566.5,Yes
2539-WJKBJ,Female,0,No,Yes,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,57.61,3283.77,No
5085-KKUKV,Female,1,No,Yes,40,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),81.53,3261.2,Yes
5655-FLFRM,Female,1,No,Yes,43,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,89.55,3850.65,No
8913-OZEZR,Male,1,No,Yes,14,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,61.69,863.66,Yes
4705-FDCMP,Male,1,No,Yes,47,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),23.4,1099.8,No
8088-WPQKL,Female,1,Yes,Yes,10,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,46.93,469.3,Yes
9268-HSZIW,Female,1,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),33.1,1059.2,No
5659-KLWKT,Female,0,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,94.83,5310.48,Yes
4103-HRIYL,Female,0,Yes,No,35,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,103.26,3614.1,No
